mode,english,ja_JP,group,id,cat,loc,cursed
base_game,Changes compatible armament's skill to Poisonous Mist at start of expedition,出撃時の武器の戦技を「毒の霧」にする ※適用可能な武器種のみ,300,7123500,100,7123500,
base_game,Changes compatible armament's skill to Prayerful Strike at start of expedition,出撃時の武器の戦技を「祈りの一撃」にする ※適用可能な武器種のみ,300,7123400,100,7123400,
base_game,Changes compatible armament's skill to Quickstep at start of expedition,出撃時の武器の戦技を「クイックステップ」にする ※適用可能な武器種のみ,300,7124400,100,7124400,
base_game,Changes compatible armament's skill to Rain of Arrows at start of expedition,出撃時の武器の戦技を「アローレイン」にする ※適用可能な武器種のみ,300,7124700,100,7124700,
base_game,Changes compatible armament's skill to Sacred Blade at start of expedition,出撃時の武器の戦技を「聖なる刃」にする ※適用可能な武器種のみ,300,7123300,100,7123300,
base_game,Changes compatible armament's skill to Seppuku at start of expedition,出撃時の武器の戦技を「切腹」にする ※適用可能な武器種のみ,300,7123800,100,7123800,
base_game,Changes compatible armament's skill to Storm Stomp at start of expedition,出撃時の武器の戦技を「嵐脚」にする ※適用可能な武器種のみ,300,7124500,100,7124500,
base_game,Changes compatible armament's skill to Thunderbolt at start of expedition,出撃時の武器の戦技を「落雷」にする ※適用可能な武器種のみ,300,7123100,100,7123100,
base_game,Changes compatible armament's skill to White Shadow's Lure at start of expedition,出撃時の武器の戦技を「白い影の誘い」にする ※適用可能な武器種のみ,300,7124100,100,7124100,
base_game,Character Skill Cooldown Reduction +1,スキルクールタイム軽減＋１,7000800,7000800,1000,7000800,
base_game,Character Skill Cooldown Reduction +2,スキルクールタイム軽減＋２,7000800,7000801,1000,7000801,
base_game,Character Skill Cooldown Reduction +3,スキルクールタイム軽減＋３,7000800,7000802,1000,7000802,
base_game,Critical Hit Boosts Stamina Recovery Speed,致命の一撃で、スタミナ回復速度上昇,7035100,7035100,100,7035100,
base_game,Critical Hits Earn Runes,致命の一撃で、ルーンを取得,7031900,7031900,101,7031900,
base_game,Critical hits fill more of the Art gauge,致命の一撃で、アーツゲージ増加,7030800,7030800,100,7030800,
base_game,Crystal Darts in possession at start of expedition,出撃時に「結晶投げ矢」を持つ,7121600,7121600,100,7121600,
base_game,Defeating enemies fills more of the Art gauge,敵を倒した時、アーツゲージ増加,7090000,7090000,100,7090000,
base_game,Defeating enemies near Totem Stela restores HP,トーテム・ステラの周囲で敵を倒した時、ＨＰ回復,900,7090300,1,7090300,
base_game,Defeating enemies restores HP for allies but not for self,敵を倒した時、自身を除く周囲の味方のＨＰを回復,7090100,7090100,100,7090100,
base_game,Dexterity +1,技量＋１,7000400,7000400,1000,7000400,
base_game,Dexterity +2,技量＋２,7000400,7000401,1000,7000401,
base_game,Dexterity +3,技量＋３,7000400,7000402,1000,7000402,
base_game,Draw enemy attention while guarding,ガード中、敵に狙われやすくなる,7030700,7030700,100,7030700,
base_game,Endurance +1,持久力＋１,7000200,7000200,1000,7000200,
base_game,Endurance +2,持久力＋２,7000200,7000201,1000,7000201,
base_game,Endurance +3,持久力＋３,7000200,7000202,1000,7000202,
base_game,FP Restoration upon Axe Attacks,斧の攻撃でＦＰ回復,7350000,7351000,10,7351000,
base_game,FP Restoration upon Bow Attacks,弓の攻撃でＦＰ回復,7350000,7352400,10,7352400,
base_game,FP Restoration upon Claw Attacks,爪の攻撃でＦＰ回復,7350000,7352100,10,7352100,
base_game,FP Restoration upon Colossal Sword Attacks,特大剣の攻撃でＦＰ回復,7350000,7350300,10,7350300,
base_game,FP Restoration upon Colossal Weapon Attacks,特大武器の攻撃でＦＰ回復,7350000,7352300,10,7352300,
base_game,FP Restoration upon Curved Greatsword Attacks,大曲剣の攻撃でＦＰ回復,7350000,7350500,10,7350500,
base_game,FP Restoration upon Curved Sword Attacks,曲剣の攻撃でＦＰ回復,7350000,7350400,10,7350400,
base_game,FP Restoration upon Dagger Attacks,短剣の攻撃でＦＰ回復,7350000,7350000,10,7350000,
base_game,FP Restoration upon Fist Attacks,拳の攻撃でＦＰ回復,7350000,7352000,10,7352000,
base_game,FP Restoration upon Flail Attacks,フレイルの攻撃でＦＰ回復,7350000,7351400,10,7351400,
base_game,FP Restoration upon Great Hammer Attacks,大槌の攻撃でＦＰ回復,7350000,7351300,10,7351300,
base_game,FP Restoration upon Great Spear Attacks,大槍の攻撃でＦＰ回復,7350000,7351700,10,7351700,
base_game,FP Restoration upon Greataxe Attacks,大斧の攻撃でＦＰ回復,7350000,7351100,10,7351100,
base_game,FP Restoration upon Greatsword Attacks,大剣の攻撃でＦＰ回復,7350000,7350200,10,7350200,
base_game,FP Restoration upon Halberd Attacks,斧槍の攻撃でＦＰ回復,7350000,7351800,10,7351800,
base_game,FP Restoration upon Hammer Attacks,槌の攻撃でＦＰ回復,7350000,7351200,10,7351200,
base_game,FP Restoration upon Heavy Thrusting Sword Attacks,重刺剣の攻撃でＦＰ回復,7350000,7350900,10,7350900,
base_game,FP Restoration upon Katana Attacks,刀の攻撃でＦＰ回復,7350000,7350600,10,7350600,
base_game,FP Restoration upon Reaper Attacks,鎌の攻撃でＦＰ回復,7350000,7351900,10,7351900,
base_game,FP Restoration upon Spear Attacks,槍の攻撃でＦＰ回復,7350000,7351500,10,7351500,
base_game,FP Restoration upon Straight Sword Attacks,直剣の攻撃でＦＰ回復,7350000,7350100,10,7350100,
base_game,FP Restoration upon Thrusting Sword Attacks,刺剣の攻撃でＦＰ回復,7350000,7350800,10,7350800,
base_game,FP Restoration upon Twinblade Attacks,両刃剣の攻撃でＦＰ回復,7350000,7350700,10,7350700,
base_game,FP Restoration upon Whip Attacks,鞭の攻撃でＦＰ回復,7350000,7352200,10,7352200,
base_game,Faith +1,信仰＋１,7000600,7000600,1000,7000600,
base_game,Faith +2,信仰＋２,7000600,7000601,1000,7000601,
base_game,Faith +3,信仰＋３,7000600,7000602,1000,7000602,
base_game,Fire Attack Power Up,炎攻撃力上昇,100,7001600,1000,7001600,
base_game,Fire Attack Power Up +1,炎攻撃力上昇＋１,100,7001601,1000,7001601,
base_game,Fire Attack Power Up +2,炎攻撃力上昇＋２,100,7001602,1000,7001602,
base_game,Fire Damage Negation Up,炎カット率上昇,7002700,7002700,1000,7002700,
base_game,Fire Grease in possession at start of expedition,出撃時に「火脂」を持つ,7122200,7122200,100,7122200,
base_game,Fire Pots in possession at start of expedition,出撃時に「火炎壺」を持つ,7121100,7121100,100,7121100,
base_game,Flask Also Heals Allies,聖杯瓶の回復を、周囲の味方に分配,7010200,7010200,100,7010200,
base_game,Glintstone Scraps in possession at start of expedition,出撃時に「屑輝石」を持つ,7121800,7121800,100,7121800,
base_game,Gravity Stone Chunks in possession at start of expedition,出撃時に「塊の重力石」を持つ,7121900,7121900,100,7121900,
base_game,Guard counter is given a boost based on current HP,ガードカウンターに、自身の現在ＨＰの一部を加える,100,7150000,100,7150000,
base_game,HP Recovery From Successful Guarding,ガード成功時、ＨＰ回復,7036100,7036100,1,8650000,
base_game,HP Restoration upon Axe Attacks,斧の攻撃でＨＰ回復,7340000,7341000,10,7341000,
base_game,HP Restoration upon Bow Attacks,弓の攻撃でＨＰ回復,7340000,7342400,10,7342400,
base_game,HP Restoration upon Claw Attacks,爪の攻撃でＨＰ回復,7340000,7342100,10,7342100,
base_game,HP Restoration upon Colossal Sword Attacks,特大剣の攻撃でＨＰ回復,7340000,7340300,10,7340300,
base_game,HP Restoration upon Colossal Weapon Attacks,特大武器の攻撃でＨＰ回復,7340000,7342300,10,7342300,
base_game,HP Restoration upon Curved Greatsword Attacks,大曲剣の攻撃でＨＰ回復,7340000,7340500,10,7340500,
base_game,HP Restoration upon Curved Sword Attacks,曲剣の攻撃でＨＰ回復,7340000,7340400,10,7340400,
base_game,HP Restoration upon Dagger Attacks,短剣の攻撃でＨＰ回復,7340000,7340000,10,7340000,
base_game,HP Restoration upon Fist Attacks,拳の攻撃でＨＰ回復,7340000,7342000,10,7342000,
base_game,HP Restoration upon Flail Attacks,フレイルの攻撃でＨＰ回復,7340000,7341400,10,7341400,
base_game,HP Restoration upon Great Hammer Attacks,大槌の攻撃でＨＰ回復,7340000,7341300,10,7341300,
base_game,HP Restoration upon Great Spear Attacks,大槍の攻撃でＨＰ回復,7340000,7341700,10,7341700,
base_game,HP Restoration upon Greataxe Attacks,大斧の攻撃でＨＰ回復,7340000,7341100,10,7341100,
base_game,HP Restoration upon Greatsword Attacks,大剣の攻撃でＨＰ回復,7340000,7340200,10,7340200,
base_game,HP Restoration upon Halberd Attacks,斧槍の攻撃でＨＰ回復,7340000,7341800,10,7341800,
base_game,HP Restoration upon Hammer Attacks,槌の攻撃でＨＰ回復,7340000,7341200,10,7341200,
base_game,HP Restoration upon Heavy Thrusting Sword Attacks,重刺剣の攻撃でＨＰ回復,7340000,7340900,10,7340900,
base_game,HP Restoration upon Katana Attacks,刀の攻撃でＨＰ回復,7340000,7340600,10,7340600,
base_game,HP Restoration upon Reaper Attacks,鎌の攻撃でＨＰ回復,7340000,7341900,10,7341900,
base_game,HP Restoration upon Spear Attacks,槍の攻撃でＨＰ回復,7340000,7341500,10,7341500,
base_game,HP Restoration upon Straight Sword Attacks,直剣の攻撃でＨＰ回復,7340000,7340100,10,7340100,
base_game,HP Restoration upon Thrusting Counterattack,刺突カウンター発生時、ＨＰ回復,7160000,7160000,100,7160000,
base_game,HP Restoration upon Thrusting Sword Attacks,刺剣の攻撃でＨＰ回復,7340000,7340800,10,7340800,
base_game,HP Restoration upon Twinblade Attacks,両刃剣の攻撃でＨＰ回復,7340000,7340700,10,7340700,
base_game,HP Restoration upon Whip Attacks,鞭の攻撃でＨＰ回復,7340000,7342200,10,7342200,
base_game,"HP restored when using medicinal boluses, etc.",苔薬などのアイテム使用でＨＰ回復,7030200,7030200,100,7030200,
base_game,Holy Attack Power Up,聖攻撃力上昇,100,7001800,1000,7001800,
base_game,Holy Attack Power Up +1,聖攻撃力上昇＋１,100,7001801,1000,7001801,
base_game,Holy Attack Power Up +2,聖攻撃力上昇＋２,100,7001802,1000,7001802,
base_game,Holy Damage Negation Up,聖カット率上昇,7002900,7002900,1000,7002900,
base_game,Holy Grease in possession at start of expedition,出撃時に「聖脂」を持つ,7122500,7122500,100,7122500,
base_game,Holy Water Pots in possession at start of expedition,出撃時に「聖水壺」を持つ,7121400,7121400,100,7121400,
base_game,Improved Attack Power with 3+ Axes Equipped,斧の武器種を３つ以上装備していると攻撃力上昇,100,7081000,10,7081000,
base_game,Improved Attack Power with 3+ Bows Equipped,弓の武器種を３つ以上装備していると攻撃力上昇,100,7082400,10,7082400,
base_game,Improved Attack Power with 3+ Claws Equipped,爪の武器種を３つ以上装備していると攻撃力上昇,100,7082100,10,7082100,
base_game,Improved Attack Power with 3+ Colossal Swords Equipped,特大剣の武器種を３つ以上装備していると攻撃力上昇,100,7080300,10,7080300,
base_game,Improved Attack Power with 3+ Colossal Weapons Equipped,特大武器の武器種を３つ以上装備していると攻撃力上昇,100,7082300,10,7082300,
base_game,Improved Attack Power with 3+ Curved Greatswords Equipped,大曲剣の武器種を３つ以上装備していると攻撃力上昇,100,7080500,10,7080500,
base_game,Improved Attack Power with 3+ Curved Swords Equipped,曲剣の武器種を３つ以上装備していると攻撃力上昇,100,7080400,10,7080400,
base_game,Improved Attack Power with 3+ Daggers Equipped,短剣の武器種を３つ以上装備していると攻撃力上昇,100,7080000,10,7080000,
base_game,Improved Attack Power with 3+ Fists Equipped,拳の武器種を３つ以上装備していると攻撃力上昇,100,7082000,10,7082000,
base_game,Improved Attack Power with 3+ Flails Equipped,フレイルの武器種を３つ以上装備していると攻撃力上昇,100,7081400,10,7081400,
base_game,Improved Attack Power with 3+ Great Hammers Equipped,大槌の武器種を３つ以上装備していると攻撃力上昇,100,7081300,10,7081300,
base_game,Improved Attack Power with 3+ Great Spears Equipped,大槍の武器種を３つ以上装備していると攻撃力上昇,100,7081700,10,7081700,
base_game,Improved Attack Power with 3+ Greataxes Equipped,大斧の武器種を３つ以上装備していると攻撃力上昇,100,7081100,10,7081100,
base_game,Improved Attack Power with 3+ Greatswords Equipped,大剣の武器種を３つ以上装備していると攻撃力上昇,100,7080200,10,7080200,
base_game,Improved Attack Power with 3+ Halberds Equipped,斧槍の武器種を３つ以上装備していると攻撃力上昇,100,7081800,10,7081800,
base_game,Improved Attack Power with 3+ Hammers Equipped,槌の武器種を３つ以上装備していると攻撃力上昇,100,7081200,10,7081200,
base_game,Improved Attack Power with 3+ Heavy Thrusting Swords Equipped,重刺剣の武器種を３つ以上装備していると攻撃力上昇,100,7080900,10,7080900,
base_game,Improved Attack Power with 3+ Katana Equipped,刀の武器種を３つ以上装備していると攻撃力上昇,100,7080600,10,7080600,
base_game,Improved Attack Power with 3+ Reapers Equipped,鎌の武器種を３つ以上装備していると攻撃力上昇,100,7081900,10,7081900,
base_game,Improved Attack Power with 3+ Spears Equipped,槍の武器種を３つ以上装備していると攻撃力上昇,100,7081500,10,7081500,
base_game,Improved Attack Power with 3+ Straight Swords Equipped,直剣の武器種を３つ以上装備していると攻撃力上昇,100,7080100,10,7080100,
base_game,Improved Attack Power with 3+ Thrusting Swords Equipped,刺剣の武器種を３つ以上装備していると攻撃力上昇,100,7080800,10,7080800,
base_game,Improved Attack Power with 3+ Twinblades Equipped,両刃剣の武器種を３つ以上装備していると攻撃力上昇,100,7080700,10,7080700,
base_game,Improved Attack Power with 3+ Whips Equipped,鞭の武器種を３つ以上装備していると攻撃力上昇,100,7082200,10,7082200,
base_game,Improved Axe Attack Power,斧の攻撃力上昇,100,7331000,10,7331000,
base_game,Improved Bestial Incantations,獣の祈祷を強化,800,7044400,100,7044400,
base_game,Improved Blood Loss Resistance,出血耐性上昇,7003100,7003100,1000,7003100,
base_game,Improved Bow Attack Power,弓の攻撃力上昇,100,7332400,10,7332400,
base_game,Improved Carian Sword Sorcery,カーリアの剣の魔術を強化,800,7043300,100,7043300,
base_game,Improved Claw Attack Power,爪の攻撃力上昇,100,7332100,10,7332100,
base_game,Improved Colossal Sword Attack Power,特大剣の攻撃力上昇,100,7330300,10,7330300,
base_game,Improved Colossal Weapon Attack Power,特大武器の攻撃力上昇,100,7332300,10,7332300,
base_game,Improved Critical Hits,致命の一撃強化,100,7040200,100,7040200,
base_game,Improved Crystalian sorcery,結晶人の魔術を強化,800,7043600,100,7043600,
base_game,Improved Curved Greatsword Attack Power,大曲剣の攻撃力上昇,100,7330500,10,7330500,
base_game,Improved Curved Sword Attack Power,曲剣の攻撃力上昇,100,7330400,10,7330400,
base_game,Improved Dagger Attack Power,短剣の攻撃力上昇,100,7330000,10,7330000,
base_game,Improved Damage Negation at Low HP,ＨＰ低下時、カット率上昇,7012300,7012300,100,7012300,
base_game,Improved Death Blight Resistance,抗死耐性上昇,7003300,7003300,1000,7003300,
base_game,Improved Dragon Communion Incantations,竜餐の祈祷を強化,800,7044600,100,7044600,
base_game,Improved Dragon Cult Incantations,王都古竜信仰の祈祷を強化,800,7044100,100,7044100,
base_game,Improved Fist Attack Power,拳の攻撃力上昇,100,7332000,10,7332000,
base_game,Improved Flail Attack Power,フレイルの攻撃力上昇,100,7331400,10,7331400,
base_game,Improved Frenzied Flame Incantations,狂い火の祈祷を強化,800,7044500,100,7044500,
base_game,Improved Frost Resistance,冷気耐性上昇,7003500,7003500,1000,7003500,
base_game,Improved Fundamentalist Incantations,黄金律原理主義の祈祷を強化,800,7044000,100,7044000,
base_game,Improved Giants' Flame Incantations,巨人の火の祈祷を強化,800,7044200,100,7044200,
base_game,Improved Glintblade Sorcery,輝剣の魔術を強化,800,7043400,100,7043400,
base_game,Improved Glintstone and Gravity Stone Damage,輝石、重力石アイテムの攻撃力上昇,7040500,7040500,100,7040500,
base_game,Improved Godslayer Incantations,神狩りの祈祷を強化,800,7044300,100,7044300,
base_game,Improved Gravity Sorcery,重力の魔術を強化,800,7043700,100,7043700,
base_game,Improved Great Hammer Attack Power,大槌の攻撃力上昇,100,7331300,10,7331300,
base_game,Improved Great Spear Attack Power,大槍の攻撃力上昇,100,7331700,10,7331700,
base_game,Improved Greataxe Attack Power,大斧の攻撃力上昇,100,7331100,10,7331100,
base_game,Improved Greatsword Attack Power,大剣の攻撃力上昇,100,7330200,10,7330200,
base_game,Improved Guard Counters,ガードカウンター強化,100,7040100,100,7040100,
base_game,Improved Halberd Attack Power,斧槍の攻撃力上昇,100,7331800,10,7331800,
base_game,Improved Hammer Attack Power,槌の攻撃力上昇,100,7331200,10,7331200,
base_game,Improved Heavy Thrusting Sword Attack Power,重刺剣の攻撃力上昇,100,7330900,10,7330900,
base_game,Improved Initial Standard Attack,通常攻撃の１段目強化,100,7040000,100,7040000,
base_game,Improved Invisibility Sorcery,不可視の魔術を強化,800,7043500,100,7043500,
base_game,Improved Katana Attack Power,刀の攻撃力上昇,100,7330600,10,7330600,
base_game,Improved Madness Resistance,発狂耐性上昇,7003600,7003600,1000,7003600,
base_game,Improved Perfuming Arts,調香術強化,7043100,7043100,100,8400000,
base_game,Improved Poise & Damage Negation When Knocked Back by Damage,ダメージで吹き飛ばされた時、強靭度とカット率上昇,7240000,7240000,100,7240000,
base_game,Improved Poise Near Totem Stela,トーテム・ステラの周囲で、強靭度上昇,900,7030000,1,7030000,
base_game,Improved Poison Resistance,毒耐性上昇,7003000,7003000,1000,7003000,
base_game,Improved Reaper Attack Power,鎌の攻撃力上昇,100,7331900,10,7331900,
base_game,Improved Roar & Breath Attacks,咆哮とブレス強化,100,7043000,100,8380000,
base_game,Improved Rot Resistance,腐敗耐性上昇,7003400,7003400,1000,7003400,
base_game,Improved Sleep Resistance,睡眠耐性上昇,7003200,7003200,1000,7003200,
base_game,Improved Spear Attack Power,槍の攻撃力上昇,100,7331500,10,7331500,
base_game,Improved Stance-Breaking when Two-Handing,両手持ちの、体勢を崩す力上昇,100,7006000,100,8300100,
base_game,Improved Stance-Breaking when Wielding Two Armaments,二刀持ちの、体勢を崩す力上昇,100,7006100,100,8310100,
base_game,Improved Stonedigger Sorcery,石掘りの魔術を強化,800,7043200,100,7043200,
base_game,Improved Straight Sword Attack Power,直剣の攻撃力上昇,100,7330100,10,7330100,
base_game,Improved Thorn Sorcery,茨の魔術を強化,800,7043800,100,7043800,
base_game,Improved Throwing Knife Damage,投擲ナイフの攻撃力上昇,7040400,7040400,100,7040400,
base_game,Improved Throwing Pot Damage,投擲壺の攻撃力上昇,7040300,7040300,100,7040300,
base_game,Improved Thrusting Sword Attack Power,刺剣の攻撃力上昇,100,7330800,10,7330800,
base_game,Improved Twinblade Attack Power,両刃剣の攻撃力上昇,100,7330700,10,7330700,
base_game,Improved Whip Attack Power,鞭の攻撃力上昇,100,7332200,10,7332200,
base_game,Increased rune acquisition for self and allies,自身と味方の取得ルーン増加,7110000,7110000,100,7110000,
base_game,Intelligence +1,知力＋１,7000500,7000500,1000,7000500,
base_game,Intelligence +2,知力＋２,7000500,7000501,1000,7000501,
base_game,Intelligence +3,知力＋３,7000500,7000502,1000,7000502,
base_game,Items confer effect to all nearby allies,アイテムの効果が周囲の味方にも発動,7050100,7050100,100,7050100,
base_game,Lightning Attack Power Up,雷攻撃力上昇,100,7001700,1000,7001700,
base_game,Lightning Attack Power Up +1,雷攻撃力上昇＋１,100,7001701,1000,7001701,
base_game,Lightning Attack Power Up +2,雷攻撃力上昇＋２,100,7001702,1000,7001702,
base_game,Lightning Damage Negation Up,雷カット率上昇,7002800,7002800,1000,7002800,
base_game,Lightning Grease in possession at start of expedition,出撃時に「雷脂」を持つ,7122400,7122400,100,7122400,
base_game,Lightning Pots in possession at start of expedition,出撃時に「雷壺」を持つ,7121300,7121300,100,7121300,
base_game,Magic Attack Power Up,魔力攻撃力上昇,100,7001500,1000,7001500,
base_game,Magic Attack Power Up +1,魔力攻撃力上昇＋１,100,7001501,1000,7001501,
base_game,Magic Attack Power Up +2,魔力攻撃力上昇＋２,100,7001502,1000,7001502,
base_game,Magic Damage Negation Up,魔力カット率上昇,7002600,7002600,1000,7002600,
base_game,Magic Grease in possession at start of expedition,出撃時に「魔力脂」を持つ,7122300,7122300,100,7122300,
base_game,Magic Pots in possession at start of expedition,出撃時に「魔力壺」を持つ,7121200,7121200,100,7121200,
base_game,Max FP Up with 3+ Sacred Seals Equipped,聖印の武器種を３つ以上装備していると最大ＦＰ上昇,7082500,7082600,10,7082600,
base_game,Max FP Up with 3+ Staves Equipped,杖の武器種を３つ以上装備していると最大ＦＰ上昇,7082500,7082500,10,7082500,
base_game,Max FP increased for each Sorcerer's Rise unlocked,魔術師塔の仕掛けが解除される度、最大ＦＰ上昇,7060100,7060100,100,7060100,
base_game,Max HP Up with 3+ Greatshields Equipped,大盾の武器種を３つ以上装備していると最大ＨＰ上昇,7082700,7082900,10,7082900,
base_game,Max HP Up with 3+ Medium Shields Equipped,中盾の武器種を３つ以上装備していると最大ＨＰ上昇,7082700,7082800,10,7082800,
base_game,Max HP Up with 3+ Small Shields Equipped,小盾の武器種を３つ以上装備していると最大ＨＰ上昇,7082700,7082700,10,7082700,
base_game,Mind +1,精神力＋１,7000100,7000100,1000,7000100,
base_game,Mind +2,精神力＋２,7000100,7000101,1000,7000101,
base_game,Mind +3,精神力＋３,7000100,7000102,1000,7000102,
base_game,Partial HP Restoration upon Post-Damage Attacks,ダメージを受けた直後、攻撃によりＨＰの一部を回復,7005600,7005600,100,7005600,
base_game,Physical Attack Up,物理攻撃力上昇,100,7001400,1000,7001400,
base_game,Physical Attack Up +1,物理攻撃力上昇＋１,100,7001401,1000,7001401,
base_game,Physical Attack Up +2,物理攻撃力上昇＋２,100,7001402,1000,7001402,
base_game,Physical attack power increases after using grease items,脂アイテム使用時、追加で物理攻撃力上昇,100,7030900,100,7030900,
base_game,Poise +1,強靭度＋１,7001000,7001000,1000,7001000,
base_game,Poise +2,強靭度＋２,7001000,7001001,1000,7001001,
base_game,Poise +3,強靭度＋３,7001000,7001002,1000,7001002,
base_game,Poisonbone Darts in possession at start of expedition,出撃時に「骨の毒投げ矢」を持つ,7121500,7121500,100,7121500,
base_game,"Raised stamina recovery for nearby allies, but not for self",自身を除く、周囲の味方のスタミナ回復速度上昇,7050000,7050000,100,7050000,
base_game,Rune discount for shop purchases while on expedition,出撃中、ショップでの購入に必要なルーンが割引,7230000,7230000,100,7230000,
base_game,Shield Grease in possession at start of expedition,出撃時に「盾脂」を持つ,7122600,7122600,100,7122600,
base_game,Slowly restore HP for self and nearby allies when HP is low,ＨＰ低下時、周囲の味方を含めＨＰをゆっくりと回復,7012200,7012200,100,7012200,
base_game,Small Pouch in possession at start of expedition,出撃時に「小さなポーチ」を持つ,7121000,7121000,100,7121000,
base_game,Stamina Recovery upon Landing Attacks,攻撃命中時、スタミナ回復,7100100,7100100,100,7100100,
base_game,Starlight Shards in possession at start of expedition,出撃時に「星光の欠片」を持つ,7126000,7126000,100,7126000,
base_game,Starting armament deals fire damage,出撃時の武器に炎攻撃力を付加,200,7120100,100,7120100,
base_game,Starting armament deals holy damage,出撃時の武器に聖攻撃力を付加,200,7120300,100,7120300,
base_game,Starting armament deals lightning damage,出撃時の武器に雷攻撃力を付加,200,7120200,100,7120200,
base_game,Starting armament deals magic damage,出撃時の武器に魔力攻撃力を付加,200,7120000,100,7120000,
base_game,Starting armament inflicts blood loss,出撃時の武器に出血の状態異常を付加,200,7120600,100,7120600,
base_game,Starting armament inflicts frost,出撃時の武器に冷気の状態異常を付加,200,7120400,100,7120400,
base_game,Starting armament inflicts poison,出撃時の武器に毒の状態異常を付加,200,7120500,100,7120500,
base_game,Stonesword Key in possession at start of expedition,出撃時に「石剣の鍵」を持つ,7120900,7120900,100,7120900,
base_game,Strength +1,筋力＋１,7000300,7000300,1000,7000300,
base_game,Strength +2,筋力＋２,7000300,7000301,1000,7000301,
base_game,Strength +3,筋力＋３,7000300,7000302,1000,7000302,
base_game,Successful guarding fills more of the Art gauge,ガード成功時、アーツゲージ増加,7030600,7030600,100,7030600,
base_game,Taking attacks improves attack power,攻撃を受けると攻撃力上昇,100,7032200,100,7032200,
base_game,Throwing Daggers in possession at start of expedition,出撃時に「スローイングダガー」を持つ,7121700,7121700,100,7121700,
base_game,Treasure marked upon map,埋もれ宝の位置を地図に表示,7070000,7070000,100,7070000,
base_game,Ultimate Art Auto Charge +1,アーツゲージ自然蓄積＋１,7000900,7000900,1000,7000900,
base_game,Ultimate Art Auto Charge +2,アーツゲージ自然蓄積＋２,7000900,7000901,1000,7000901,
base_game,Ultimate Art Auto Charge +3,アーツゲージ自然蓄積＋３,7000900,7000902,1000,7000902,
base_game,Vigor +1,生命力＋１,7000000,7000000,1000,7000000,
base_game,Vigor +2,生命力＋２,7000000,7000001,1000,7000001,
base_game,Vigor +3,生命力＋３,7000000,7000002,1000,7000002,
base_game,Wraith Calling Bell in possession at start of expedition,出撃時に「呪霊喚びの鈴」を持つ,7122100,7122100,100,7122100,
base_game,[Duchess] Become difficult to spot and silence footsteps after landing critical from behind,【レディ】背後からの致命の一撃後 自身の姿を見え難くし、足音を消す,900,7031800,1,7031800,
